source_idx,target_idx,weight
111,3097,0.7863782048225403
112,391,0.8445940017700195
112,2604,0.8215467929840088
112,475,0.8155118227005005
112,1475,0.8138440847396851
112,203,0.8125470876693726
112,2294,0.8115919232368469
112,3204,0.8046265244483948
112,1105,0.804506778717041
112,2830,0.803351640701294
112,1586,0.8033290505409241
113,772,0.8298736810684204
113,287,0.7991108894348145
113,738,0.7970161437988281
113,3325,0.7906453013420105
113,1063,0.7884006500244141
113,1202,0.7819100022315979
113,2589,0.7802404165267944
113,2444,0.7776213884353638
114,1871,0.7314416170120239
116,910,0.7712846994400024
116,3231,0.7355839014053345
118,1059,0.7895972728729248
118,1793,0.7585939168930054
118,1964,0.7515158653259277
118,733,0.745840311050415
118,458,0.7441375255584717
119,987,0.8300295472145081
119,1677,0.8300209641456604
119,2401,0.8085377216339111
119,1111,0.8043352365493774
119,3020,0.8016802668571472
119,2427,0.7863403558731079
119,1305,0.7712301015853882
119,2919,0.768572211265564
120,979,0.8080408573150635
120,2328,0.7994202375411987
120,2031,0.7952042818069458
120,1639,0.7793512344360352
120,2832,0.767087459564209
120,2565,0.7649523019790649
120,169,0.7623809576034546
120,2236,0.7607262134552002
120,400,0.7576085925102234
121,3160,0.6705191135406494
122,418,0.8075462579727173
122,1902,0.8015246987342834
122,3002,0.7991641759872437
122,1495,0.7983660697937012
122,2922,0.7787964344024658
122,968,0.7740879654884338
122,3037,0.7740879654884338
122,1213,0.7723101377487183
122,2071,0.7720654010772705
123,2079,0.7181397080421448
124,1503,0.6513290405273438
125,447,0.7806004881858826
125,1241,0.7692722082138062
125,3310,0.7684788703918457
125,1168,0.7580258846282959
125,1318,0.7562494874000549
125,2493,0.7560513615608215
125,313,0.7551458477973938
126,2050,0.7111589908599854
126,1326,0.6869864463806152
127,1537,0.7877109050750732
128,2638,0.7322115898132324
128,2067,0.7302119731903076
128,3257,0.7240525484085083
128,583,0.7221300601959229
128,1841,0.7145458459854126
129,2721,0.7988873720169067
129,2932,0.7754224538803101
129,1715,0.766129732131958
129,976,0.7611179351806641
129,2923,0.7544939517974854
129,3252,0.7518483400344849
129,640,0.747321367263794
129,2945,0.7447426915168762
129,2291,0.7436190843582153
129,560,0.7349178791046143
129,1950,0.7310508489608765
129,1954,0.7291289567947388
130,146,0.6959787607192993
130,1753,0.6631311774253845
130,2636,0.6627486348152161
131,3220,0.6720298528671265
131,1465,0.6486060619354248
132,2181,0.7580779790878296
132,506,0.7466111183166504
132,1522,0.7301682233810425
133,873,0.7634526491165161
133,710,0.7476732730865479
133,156,0.7277891039848328
134,3001,0.7365597486495972
134,2385,0.7365597486495972
134,2592,0.7181485891342163
134,2327,0.7094879150390625
134,2060,0.7034275531768799
134,2955,0.6942329406738281
134,1862,0.6913350820541382
136,2283,0.8358679413795471
136,432,0.8195592761039734
136,986,0.8195127248764038
136,551,0.8097900152206421
136,2322,0.8076432943344116
136,762,0.8075881600379944
136,982,0.803330659866333
136,2355,0.7920421361923218
136,320,0.7905641198158264
136,1618,0.785283088684082
136,2602,0.7801103591918945
137,891,0.7461092472076416
137,1242,0.7388712167739868
137,1041,0.7283077836036682
137,1074,0.7213082313537598
137,1046,0.7093624472618103
138,1583,0.7592535018920898
138,1163,0.7068571448326111
138,1549,0.7048431634902954
138,271,0.7029646635055542
139,1588,0.6925880908966064
140,2048,0.8211257457733154
140,1874,0.8143068552017212
140,1537,0.8142368793487549
140,543,0.8011319637298584
140,2216,0.7944258451461792
140,2250,0.7937544584274292
140,1553,0.7937544584274292
140,3129,0.7937544584274292
140,833,0.786043643951416
140,1659,0.784093976020813
140,2013,0.780680775642395
140,1389,0.7713923454284668
140,2151,0.7711014747619629
140,3292,0.768100380897522
141,1424,0.7320952415466309
142,1871,0.7342841625213623
143,436,0.8278486728668213
143,1830,0.7935770750045776
143,425,0.7374536991119385
144,1276,0.800434410572052
144,1760,0.7709102630615234
144,2402,0.7599279880523682
144,3109,0.7505481839179993
145,277,0.7458186149597168
145,1503,0.6775134801864624
145,1640,0.6767399907112122
145,2096,0.6557419300079346
145,610,0.6313740015029907
145,1736,0.6268200278282166
145,1384,0.6251819133758545
146,3261,0.7047810554504395
146,285,0.6924457550048828
146,3175,0.6924457550048828
146,2377,0.672722578048706
147,1468,0.7459176182746887
147,148,0.7443184852600098
148,1948,0.7671741247177124
148,980,0.7579216957092285
148,755,0.7385140657424927
148,2252,0.7307500839233398
149,1686,0.7046512365341187
149,852,0.6731754541397095
150,282,0.6878331899642944
151,267,0.778449535369873
151,3071,0.7778711318969727
151,2686,0.7666194438934326
151,2262,0.7496383190155029
152,1800,0.8974882364273071
